hammer	94047
weiss	94009
hooker	93979
johnstone	93973
hebert	93957
thurston	93956
kaiser	93894
abrams	93889
oldham	93853
patten	93764
maloney	93737
kincaid	93725
cassidy	93713
darnell	93455
newsom	93423
harwood	93359
thurman	93054
ledford	92952
parkinson	92854
angel	92798
cutler	92725
hatton	92720
jordon	92695
more	92612
prather	92577
oconnell	92437
bernard	92420
mcrae	92231
hyatt	92204
gorman	92187
clemens	92054
rainey	92034
dill	91997
overton	91942
grimm	91897
coffin	91794
mccord	91785
upton	91727
forster	91699
elmore	91687
mackay	91677
laird	91624
joyner	91353
heard	91307
kenyon	91274
kelsey	91268
spear	91245
heaton	91166
seeley	91157
shelley	91013
salter	90860
howland	90791
burdick	90738
vernon	90630
cornelius	90501
bellamy	90489
whittington	90440
babb	90389
fink	90374
brittain	90222
kaufman	90132
crowder	90013
brannon	89928
wild	89913
murphey	89902
crump	89682
reeve	89677
burden	89642
ivy	89637
hamlin	89628
engle	89618
shaver	89592
france	89534
willett	89530
finney	89473
honeycutt	89450
whitmore	89216
jeffery	89208
abraham	89186
munson	89081
lange	89048
stein	89033
newberry	89000
brand	88954
salisbury	88901
dewey	88863
drummond	88781
wray	88749
major	88722
edmondson	88691
rasmussen	88675
ricketts	88562
ainsworth	88514
polk	88425
batchelor	88310
hinson	88244
newcomb	88228
noel	88220
coffee	88196
jeffrey	88162
ramsay	88160
higginbotham	88009
duff	87997
helm	87975
fenton	87934
kessler	87907
muller	87870
huston	87834
renfro	87754
hager	87706
thacker	87673
hilliard	87660
mcarthur	87590
mckinnon	87542
neale	87509
tidwell	87496
gipson	87409
ransom	87327
crisp	87303
lott	87291
donahue	87250
dow	87221
roland	87215
leblanc	87202
waldron	87122
mobley	87080
abbey	87065
beall	86982
werner	86924
prater	86896
needham	86885
plantagenet	86846
ryder	86811
lea	86730
rinehart	86648
markham	86552
east	86548
schaffer	86457
knott	86455
landers	86433
bledsoe	86392
applegate	86376
newsome	86351
crum	86296
benedict	86228
mosher	86211
hoffmann	86159
pyle	86115
ratcliff	86041
pepper	86039
turnbull	85863
holly	85860
bannister	85729
stanford	85665
calloway	85547
gilman	85350
dwyer	85348
griswold	85315
ladd	85287
etheridge	85246
akins	85235
rudd	85201
pullen	85191
clapp	85051
wharton	84898
pendleton	84893
drury	84768
goins	84674
zeigler	84664
givens	84644
messer	84610
haywood	84530
monk	84503
fountain	84463
whitlock	84424
hawes	84391
sands	84312
worthington	84302
mortimer	84274
milner	84246
hook	84227
perrin	84200
reagan	84123
marlow	84092
gilliland	84055
sizemore	84001
driver	84001
brooke	83845
prior	83829
tatum	83807
broughton	83792
keys	83766
watters	83765
snodgrass	83760
penn	83744
farnsworth	83720
hawk	83683
sapp	83666
pack	83555
rader	83551
starkey	83541
kinsey	83460
light	83424
neil	83411
trimble	83172
putman	83144
ogle	83064
rolfe	82993
packard	82967
isaacs	82954
jewett	82915
borden	82898
linn	82887
sage	82869
rawlings	82840
dent	82825
bigelow	82722
beaumont	82684
lindley	82657
button	82650
seaman	82609
clough	82529
bryson	82514
trotter	82472
spangler	82441
sterling	82393
leggett	82385
mccain	82340
comer	82325
rector	82309
legg	82254
broom	82230
smyth	82098
forsyth	81941
gooch	81919
stockton	81903
rushing	81883
metcalfe	81846
slack	81840
ott	81662
stoddard	81615
way	81588
shipman	81474
lister	81387
titus	81259
healy	81190
ballinger	81186
carnes	81113
woodall	81083
mary	81037
burleson	81029
bradbury	80978
basham	80910
reaves	80875
schumacher	80833
aiken	80805
mcnamara	80800
bristow	80685
dowell	80671
goldsmith	80663
choate	80512
keyes	80469
laughlin	80435
guinn	80325
mallory	80237
howes	80224
withers	80221
sheffield	80179
strange	80092
frazer	80043
hutson	80037
butt	79967
jeffers	79936
mcghee	79925
hammonds	79816
jernigan	79743
devine	79632
shea	79607
rowell	79501
purvis	79500
cousins	79454
wooley	79412
gough	79403
